2022-03-03 01:13:28,747 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=RENAME_KEY {volume=user, bucket=history, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=done_intermediate/hadoop/job_1646269866238_0001-1646269974257-hadoop-QuasiMonteCarlo-1646270008057-3-1-SUCCEEDED-default-1646269983320.jhist_tmp, dstKey=done_intermediate/hadoop/job_1646269866238_0001-1646269974257-hadoop-QuasiMonteCarlo-1646270008057-3-1-SUCCEEDED-default-1646269983320.jhist} | ret=SUCCESS |  
2022-03-03 01:13:29,784 | INFO  | OMAudit | user=hadoop | ip=172.20.0.7 | op=DELETE_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0001, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:30,264 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211/out/reduce-out, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:13:30,435 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=DELETE_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/QuasiMonteCarlo_1646269969416_1709026211, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:33,141 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_DIRECTORY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0002, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:13:33,198 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0002/job.jar, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:34,715 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0002/job.jar, dataSize=316483, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:34,790 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0002/job.split, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:34,909 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0002/job.split, dataSize=310, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-03 01:13:34,934 | INFO  | OMAudit | user=hadoop | ip=172.20.0.3 | op=CREATE_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646269866238_0002/job.splitmetainfo, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
