2022-03-22 01:50:59,233 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d88f8fad-67f0-4468-b8f1-c353528e01da, command=[]} | ret=SUCCESS |  
2022-03-22 01:50:59,277 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=22e4acb3-d656-460f-90fa-d9d9b43c68bd, command=[]} | ret=SUCCESS |  
2022-03-22 01:51:05,579 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=DELETE_KEY_BLOCK {KeyBlockToDelete=BlockGroup[groupID='/86563-without-scheme/bb1/key2', blockIDs=[conID: 1 locID: 109611004723200001 bcsId: 0]]} | ret=SUCCESS |  
2022-03-22 01:51:29,207 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=e3a22762-0235-4f16-a697-8f9e5fbc4748, command=[]} | ret=SUCCESS |  
2022-03-22 01:51:29,222 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d88f8fad-67f0-4468-b8f1-c353528e01da, command=[]} | ret=SUCCESS |  
2022-03-22 01:51:29,269 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=22e4acb3-d656-460f-90fa-d9d9b43c68bd, command=[]} | ret=SUCCESS |  
2022-03-22 01:51:59,209 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=e3a22762-0235-4f16-a697-8f9e5fbc4748, command=[]} | ret=SUCCESS |  
2022-03-22 01:51:59,234 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.12 | op=SEND_HEARTBEAT {datanodeUUID=d88f8fad-67f0-4468-b8f1-c353528e01da, command=[]} | ret=SUCCESS |  
2022-03-22 01:51:59,255 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {datanodeUUID=22e4acb3-d656-460f-90fa-d9d9b43c68bd, command=[]} | ret=SUCCESS |  
2022-03-22 01:52:05,548 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 01:52:14,600 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om3, size=268435456, num=1} | ret=SUCCESS |  
2022-03-22 01:52:29,203 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=e3a22762-0235-4f16-a697-8f9e5fbc4748, command=[]} | ret=SUCCESS |  
