2022-08-22 17:16:47,680 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg29]} | ret=SUCCESS |  
2022-08-22 17:16:47,682 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg31]} | ret=SUCCESS |  
2022-08-22 17:16:47,680 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg32]} | ret=SUCCESS |  
2022-08-22 17:16:47,692 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg30]} | ret=SUCCESS |  
2022-08-22 17:16:47,705 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg33]} | ret=SUCCESS |  
2022-08-22 17:16:47,714 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg35]} | ret=SUCCESS |  
2022-08-22 17:16:47,770 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg42]} | ret=SUCCESS |  
2022-08-22 17:16:47,775 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg39]} | ret=SUCCESS |  
2022-08-22 17:16:47,796 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg38]} | ret=SUCCESS |  
2022-08-22 17:16:47,811 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg44]} | ret=SUCCESS |  
2022-08-22 17:16:47,819 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg37]} | ret=SUCCESS |  
2022-08-22 17:16:47,849 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg34]} | ret=SUCCESS |  
2022-08-22 17:16:47,849 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg40]} | ret=SUCCESS |  
2022-08-22 17:16:47,850 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg36]} | ret=SUCCESS |  
2022-08-22 17:16:47,856 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg41]} | ret=SUCCESS |  
2022-08-22 17:16:47,887 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg43]} | ret=SUCCESS |  
2022-08-22 17:16:47,898 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg46]} | ret=SUCCESS |  
2022-08-22 17:16:47,901 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg45]} | ret=SUCCESS |  
2022-08-22 17:16:47,926 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg47]} | ret=SUCCESS |  
2022-08-22 17:16:47,972 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg50]} | ret=SUCCESS |  
2022-08-22 17:16:47,976 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg49]} | ret=SUCCESS |  
2022-08-22 17:16:47,993 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg53]} | ret=SUCCESS |  
2022-08-22 17:16:48,012 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg48]} | ret=SUCCESS |  
2022-08-22 17:16:48,032 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg57]} | ret=SUCCESS |  
2022-08-22 17:16:48,065 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg55]} | ret=SUCCESS |  
2022-08-22 17:16:48,090 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg52]} | ret=SUCCESS |  
2022-08-22 17:16:48,091 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg51]} | ret=SUCCESS |  
2022-08-22 17:16:48,097 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg54]} | ret=SUCCESS |  
2022-08-22 17:16:48,117 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg59]} | ret=SUCCESS |  
2022-08-22 17:16:48,128 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg60]} | ret=SUCCESS |  
2022-08-22 17:16:48,139 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg58]} | ret=SUCCESS |  
2022-08-22 17:16:48,148 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg56]} | ret=SUCCESS |  
2022-08-22 17:16:48,189 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg63]} | ret=SUCCESS |  
2022-08-22 17:16:48,237 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg65]} | ret=SUCCESS |  
2022-08-22 17:16:48,248 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg64]} | ret=SUCCESS |  
2022-08-22 17:16:48,270 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg66]} | ret=SUCCESS |  
2022-08-22 17:16:48,276 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg61]} | ret=SUCCESS |  
2022-08-22 17:16:48,279 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg68]} | ret=SUCCESS |  
2022-08-22 17:16:48,301 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg69]} | ret=SUCCESS |  
2022-08-22 17:16:48,305 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg67]} | ret=SUCCESS |  
2022-08-22 17:16:48,326 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg62]} | ret=SUCCESS |  
2022-08-22 17:16:48,334 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg70]} | ret=SUCCESS |  
2022-08-22 17:16:48,348 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg71]} | ret=SUCCESS |  
2022-08-22 17:16:48,402 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg73]} | ret=SUCCESS |  
2022-08-22 17:16:48,419 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg76]} | ret=SUCCESS |  
2022-08-22 17:16:48,453 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[s3bg77]} | ret=SUCCESS |  
