2022-03-19 01:07:08,148 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-5516194622, key=testfile, dataSize=29, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:09,447 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMMIT_KEY {volume=s3v, bucket=bucket-ozone-test-5516194622, key=testfile, dataSize=29, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:10,020 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-5516194622, key=dir1/dir2/file, dataSize=29, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:10,112 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMMIT_KEY {volume=s3v, bucket=bucket-ozone-test-5516194622, key=dir1/dir2/file, dataSize=29, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:12,333 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-5516194622, key=specialchars/a+b, dataSize=29, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:12,414 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMMIT_KEY {volume=s3v, bucket=bucket-ozone-test-5516194622, key=specialchars/a+b, dataSize=29, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:15,815 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=CREATE_BUCKET {volume=s3v, bucket=bucket-ozone-test-5829556749, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647652035807, bucketEncryptionKey=null, modificationTime=1647652035807, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:07:16,262 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=CREATE_BUCKET {volume=s3v, bucket=ozone-test-xxfwldejiw, bucketLayout=OBJECT_STORE, gdprEnabled=null, acls=[user:dlfknslnfslf:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1647652036254, bucketEncryptionKey=null, modificationTime=1647652036254, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-19 01:07:16,300 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=ALLOCATE_KEY {volume=s3v, bucket=bucket-ozone-test-5829556749, key=README3.md, dataSize=3811, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2022-03-19 01:07:16,383 | INFO  | OMAudit | user=dlfknslnfslf | ip=172.18.0.6 | op=COMMIT_KEY {volume=s3v, bucket=bucket-ozone-test-5829556749, key=README3.md, dataSize=3811, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
