2022-03-08 14:25:08,029 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:25:08,071 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:25:38,027 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:25:38,043 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:25:38,090 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:26:08,031 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:26:08,044 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:26:08,075 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:26:38,033 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
2022-03-08 14:26:38,045 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:26:38,093 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=e065eba6-f5bd-45d7-b073-c3f9f6ba9933, command=[]} | ret=SUCCESS |  
2022-03-08 14:27:08,026 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=be43a15e-4b66-4c3a-9df2-06697fd00623, command=[]} | ret=SUCCESS |  
2022-03-08 14:27:08,043 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=1a9b6e0a-8a8e-4d58-8af3-3c1cfca9ea3c, command=[]} | ret=SUCCESS |  
