2022-03-03 01:27:02,426 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=tmp, bucket=0238775c7bd96e2eab98038afe0c4279, key=logs/hadoop/bucket-logs-tfile/0001, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:02,433 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=tmp, bucket=0238775c7bd96e2eab98038afe0c4279, key=logs/hadoop/bucket-logs-tfile/0001/application_1646270571604_0001, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:03,028 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.splitmetainfo, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:05,196 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.jar, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:05,603 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.split, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:05,768 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=LOOKUP_FILE {volume=volume1, bucket=bucket1, key=user/hadoop/.staging/job_1646270571604_0001/job.xml, dataSize=0, replicationConfig=null} | ret=SUCCESS |  
2022-03-03 01:27:10,931 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=user, creationTime=1646270830925, modificationTime=1646270830925, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854755072, updateID=81} | ret=SUCCESS |  
2022-03-03 01:27:10,952 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_BUCKET {volume=user, bucket=hadoop, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:flokkr:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646270830949, bucketEncryptionKey=null, modificationTime=1646270830949, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-03 01:27:10,963 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=user, bucket=hadoop, key=.staging/job_1646270571604_0001, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2022-03-03 01:27:11,041 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_BUCKET {volume=user, bucket=history, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:flokkr:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1646270831039, bucketEncryptionKey=null, modificationTime=1646270831039, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2022-03-03 01:27:11,050 | INFO  | OMAudit | user=hadoop/rm@EXAMPLE.COM | ip=172.22.0.4 | op=CREATE_DIRECTORY {volume=user, bucket=history, key=done_intermediate, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
