2022-08-09 16:03:31,188 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:04:01,323 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:04:01,397 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:04:01,512 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:04:31,160 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:04:31,284 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:04:31,322 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:05:01,241 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:05:01,292 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:05:01,320 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:05:31,242 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:05:31,276 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:05:31,290 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:06:01,286 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:06:01,321 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:06:01,343 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:06:31,215 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:06:31,306 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:06:31,313 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
