2022-03-22 02:11:00,960 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:11:30,781 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:11:30,795 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:11:30,876 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:12:00,786 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:12:00,847 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:12:00,890 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
2022-03-22 02:12:30,729 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=ff1700db-d3ed-4340-ade4-61e04b8dd3c9, command=[]} | ret=SUCCESS |  
2022-03-22 02:12:30,870 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=b83a4509-6792-45d7-8071-046d349c7389, command=[]} | ret=SUCCESS |  
2022-03-22 02:12:30,886 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=4de9d572-3cb1-4369-a9a0-6a49b8a166ec, command=[]} | ret=SUCCESS |  
