2022-07-17 01:22:14,857 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf0765c-9ff2-4439-897b-0a1dd3268bf4, command=[]} | ret=SUCCESS |  
2022-07-17 01:22:19,847 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.25.0.111 | op=DELETE_KEY_BLOCK {KeyBlockToDelete=BlockGroup[groupID='/vol1/bucket1/ockr/0', blockIDs=[conID: 2 locID: 109611004723200003 bcsId: 0]]} | ret=SUCCESS |  
2022-07-17 01:22:44,854 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf0765c-9ff2-4439-897b-0a1dd3268bf4, command=[]} | ret=SUCCESS |  
2022-07-17 01:22:44,864 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=9e1b846a-5c52-416f-aec0-97b3d5baf009, command=[]} | ret=SUCCESS |  
2022-07-17 01:22:44,884 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f6e3e37a-9768-4863-bc7f-f551f7fcb9b4, command=[]} | ret=SUCCESS |  
2022-07-17 01:23:09,378 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-07-17 01:23:14,648 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f6e3e37a-9768-4863-bc7f-f551f7fcb9b4, command=[]} | ret=SUCCESS |  
2022-07-17 01:23:14,747 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=9e1b846a-5c52-416f-aec0-97b3d5baf009, command=[]} | ret=SUCCESS |  
2022-07-17 01:23:14,750 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf0765c-9ff2-4439-897b-0a1dd3268bf4, command=[]} | ret=SUCCESS |  
2022-07-17 01:23:18,068 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.25.0.111 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#2,} | ret=SUCCESS |  
2022-07-17 01:23:24,648 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.25.0.111 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1} | ret=SUCCESS |  
2022-07-17 01:23:32,644 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.25.0.111 | op=GET_CONTAINER_WITH_PIPELINE_BATCH {containerIDs=#2,} | ret=SUCCESS |  
2022-07-17 01:23:32,646 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.25.0.115 | op=LIST_PIPELINE null | ret=SUCCESS |  
2022-07-17 01:23:44,731 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f6e3e37a-9768-4863-bc7f-f551f7fcb9b4, command=[]} | ret=SUCCESS |  
2022-07-17 01:23:44,765 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=9e1b846a-5c52-416f-aec0-97b3d5baf009, command=[]} | ret=SUCCESS |  
2022-07-17 01:23:44,808 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf0765c-9ff2-4439-897b-0a1dd3268bf4, command=[]} | ret=SUCCESS |  
2022-07-17 01:24:14,723 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=9e1b846a-5c52-416f-aec0-97b3d5baf009, command=[]} | ret=SUCCESS |  
2022-07-17 01:24:14,735 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f6e3e37a-9768-4863-bc7f-f551f7fcb9b4, command=[]} | ret=SUCCESS |  
2022-07-17 01:24:14,771 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf0765c-9ff2-4439-897b-0a1dd3268bf4, command=[]} | ret=SUCCESS |  
2022-07-17 01:24:19,730 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.25.0.111 | op=DELETE_KEY_BLOCK {KeyBlockToDelete=BlockGroup[groupID='/68321-source/bucket1/key2', blockIDs=[conID: 2 locID: 109611004723200006 bcsId: 0]]} | ret=SUCCESS |  
2022-07-17 01:24:44,787 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=9e1b846a-5c52-416f-aec0-97b3d5baf009, command=[]} | ret=SUCCESS |  
2022-07-17 01:24:44,792 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=f6e3e37a-9768-4863-bc7f-f551f7fcb9b4, command=[]} | ret=SUCCESS |  
2022-07-17 01:24:44,802 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=cdf0765c-9ff2-4439-897b-0a1dd3268bf4, command=[]} | ret=SUCCESS |  
