2022-08-23 17:21:29,592 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg15]} | ret=SUCCESS |  
2022-08-23 17:21:29,611 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg12]} | ret=SUCCESS |  
2022-08-23 17:21:29,679 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg19]} | ret=SUCCESS |  
2022-08-23 17:21:29,681 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg14]} | ret=SUCCESS |  
2022-08-23 17:21:29,683 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg17]} | ret=SUCCESS |  
2022-08-23 17:21:29,721 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg11]} | ret=SUCCESS |  
2022-08-23 17:21:29,742 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg18]} | ret=SUCCESS |  
2022-08-23 17:21:29,744 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg20]} | ret=SUCCESS |  
2022-08-23 17:21:29,746 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg16]} | ret=SUCCESS |  
2022-08-23 17:21:29,751 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg10]} | ret=SUCCESS |  
2022-08-23 17:21:29,785 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg21]} | ret=SUCCESS |  
2022-08-23 17:21:29,853 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg23]} | ret=SUCCESS |  
2022-08-23 17:21:29,859 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg24]} | ret=SUCCESS |  
2022-08-23 17:21:29,874 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg27]} | ret=SUCCESS |  
2022-08-23 17:21:29,906 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg30]} | ret=SUCCESS |  
2022-08-23 17:21:29,951 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg28]} | ret=SUCCESS |  
2022-08-23 17:21:29,956 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg31]} | ret=SUCCESS |  
2022-08-23 17:21:29,960 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg29]} | ret=SUCCESS |  
2022-08-23 17:21:30,015 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg25]} | ret=SUCCESS |  
2022-08-23 17:21:30,072 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg26]} | ret=SUCCESS |  
2022-08-23 17:21:30,075 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg22]} | ret=SUCCESS |  
2022-08-23 17:21:30,139 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.25.0.116 | op=CREATE_BUCKET {bucket=[s3bg33]} | ret=SUCCESS |  
